part_name,type,x_extent,y_extent,start_pad,end_pad,color,hatch,arrowhead_height,arrowhead_length,linestyle,linewidth
pBetI,Promoter,,,,,0.33;0.33;0.64,,,,,
P2,RBS,,,,,0.98;0.64;0.15,,,,,
BM3R1,CDS,,,,,0.93;0.18;0.17,,,,,
ECK120033737,Terminator,,,,,0.98;0.64;0.15,,,,,
L3S3P11,Terminator,,,,,0.33;0.33;0.64,,,,,
pTet,Promoter,,,,,0.0;0.0;0.0,,,,,
BetI,CDS,,,,,0.33;0.33;0.64,,,,,
B2,RBS,,,,,0.93;0.18;0.17,,,,,
pPsrA,Promoter,,,,,0.76;0.29;0.61,,,,,
pPhlF,Promoter,,,,,0.98;0.64;0.15,,,,,
pTac,Promoter,,,,,0.0;0.0;0.0,,,,,
AmtR,CDS,,,,,0.23;0.66;0.88,,,,,
BydvJ,Ribozyme,,,,,0.23;0.66;0.88,,,,,
pSrpR,Promoter,,,,,0.00;0.41;0.22,,,,,
RiboJ53,Ribozyme,,,,,0.98;0.64;0.15,,,,,
L3S2P11,Terminator,,,,,0.93;0.18;0.17,,,,,
L3S2P55,Terminator,,,,,0.23;0.66;0.88,,,,,
RiboJ10,Ribozyme,,,,,0.00;0.41;0.22,,,,,
S4,RBS,,,,,0.00;0.41;0.22,,,,,
ECK120029600,Terminator,,,,,0.00;0.41;0.22,,,,,
pBAD,Promoter,,,,,0.0;0.0;0.0,,,,,
SrpR,CDS,,,,,0.00;0.41;0.22,,,,,
ScmJ,Ribozyme,,,,,0.76;0.29;0.61,,,,,
RiboJ57,Ribozyme,,,,,0.33;0.33;0.64,,,,,
E1,RBS,,,,,0.33;0.33;0.64,,,,,
YFP_cassette,UserDefined,25,5,,,0.00;0.00;0.00,,,,,
ECK120015440,Terminator,,,,,0.76;0.29;0.61,,,,,
A1,RBS,,,,,0.23;0.66;0.88,,,,,
pAmtR,Promoter,,,,,0.23;0.66;0.88,,,,,
pBM3R1,Promoter,,,,,0.93;0.18;0.17,,,,,
PsrA,CDS,,,,,0.76;0.29;0.61,,,,,
PhlF,CDS,,,,,0.98;0.64;0.15,,,,,
R1,RBS,,,,,0.76;0.29;0.61,,,,,
SarJ,Ribozyme,,,,,0.93;0.18;0.17,,,,,
pBetI,Promoter,,,,,0.33;0.33;0.64,,,,,
P2,RBS,,,,,0.98;0.64;0.15,,,,,
BM3R1,CDS,,,,,0.93;0.18;0.17,,,,,
ECK120033737,Terminator,,,,,0.98;0.64;0.15,,,,,
L3S3P11,Terminator,,,,,0.33;0.33;0.64,,,,,
pTet,Promoter,,,,,0.0;0.0;0.0,,,,,
BetI,CDS,,,,,0.33;0.33;0.64,,,,,
B2,RBS,,,,,0.93;0.18;0.17,,,,,
pPsrA,Promoter,,,,,0.76;0.29;0.61,,,,,
pTac,Promoter,,,,,0.0;0.0;0.0,,,,,
pPhlF,Promoter,,,,,0.98;0.64;0.15,,,,,
AmtR,CDS,,,,,0.23;0.66;0.88,,,,,
BydvJ,Ribozyme,,,,,0.23;0.66;0.88,,,,,
pSrpR,Promoter,,,,,0.00;0.41;0.22,,,,,
RiboJ53,Ribozyme,,,,,0.98;0.64;0.15,,,,,
L3S2P11,Terminator,,,,,0.93;0.18;0.17,,,,,
L3S2P55,Terminator,,,,,0.23;0.66;0.88,,,,,
RiboJ10,Ribozyme,,,,,0.00;0.41;0.22,,,,,
S4,RBS,,,,,0.00;0.41;0.22,,,,,
ECK120029600,Terminator,,,,,0.00;0.41;0.22,,,,,
pBAD,Promoter,,,,,0.0;0.0;0.0,,,,,
SrpR,CDS,,,,,0.00;0.41;0.22,,,,,
ScmJ,Ribozyme,,,,,0.76;0.29;0.61,,,,,
YFP_cassette,UserDefined,25,5,,,0.00;0.00;0.00,,,,,
RiboJ57,Ribozyme,,,,,0.33;0.33;0.64,,,,,
E1,RBS,,,,,0.33;0.33;0.64,,,,,
ECK120015440,Terminator,,,,,0.76;0.29;0.61,,,,,
A1,RBS,,,,,0.23;0.66;0.88,,,,,
pAmtR,Promoter,,,,,0.23;0.66;0.88,,,,,
pBM3R1,Promoter,,,,,0.93;0.18;0.17,,,,,
PsrA,CDS,,,,,0.76;0.29;0.61,,,,,
PhlF,CDS,,,,,0.98;0.64;0.15,,,,,
R1,RBS,,,,,0.76;0.29;0.61,,,,,
SarJ,Ribozyme,,,,,0.93;0.18;0.17,,,,,
pBetI,Promoter,,,,,0.33;0.33;0.64,,,,,
P2,RBS,,,,,0.98;0.64;0.15,,,,,
BM3R1,CDS,,,,,0.93;0.18;0.17,,,,,
ECK120033737,Terminator,,,,,0.98;0.64;0.15,,,,,
L3S3P11,Terminator,,,,,0.33;0.33;0.64,,,,,
pTet,Promoter,,,,,0.0;0.0;0.0,,,,,
BetI,CDS,,,,,0.33;0.33;0.64,,,,,
B2,RBS,,,,,0.93;0.18;0.17,,,,,
pPsrA,Promoter,,,,,0.76;0.29;0.61,,,,,
pPhlF,Promoter,,,,,0.98;0.64;0.15,,,,,
pTac,Promoter,,,,,0.0;0.0;0.0,,,,,
AmtR,CDS,,,,,0.23;0.66;0.88,,,,,
BydvJ,Ribozyme,,,,,0.23;0.66;0.88,,,,,
pSrpR,Promoter,,,,,0.00;0.41;0.22,,,,,
RiboJ53,Ribozyme,,,,,0.98;0.64;0.15,,,,,
L3S2P11,Terminator,,,,,0.93;0.18;0.17,,,,,
L3S2P55,Terminator,,,,,0.23;0.66;0.88,,,,,
RiboJ10,Ribozyme,,,,,0.00;0.41;0.22,,,,,
S4,RBS,,,,,0.00;0.41;0.22,,,,,
ECK120029600,Terminator,,,,,0.00;0.41;0.22,,,,,
pBAD,Promoter,,,,,0.0;0.0;0.0,,,,,
SrpR,CDS,,,,,0.00;0.41;0.22,,,,,
ScmJ,Ribozyme,,,,,0.76;0.29;0.61,,,,,
YFP_cassette,UserDefined,25,5,,,0.00;0.00;0.00,,,,,
RiboJ57,Ribozyme,,,,,0.33;0.33;0.64,,,,,
E1,RBS,,,,,0.33;0.33;0.64,,,,,
ECK120015440,Terminator,,,,,0.76;0.29;0.61,,,,,
A1,RBS,,,,,0.23;0.66;0.88,,,,,
pAmtR,Promoter,,,,,0.23;0.66;0.88,,,,,
pBM3R1,Promoter,,,,,0.93;0.18;0.17,,,,,
PsrA,CDS,,,,,0.76;0.29;0.61,,,,,
PhlF,CDS,,,,,0.98;0.64;0.15,,,,,
R1,RBS,,,,,0.76;0.29;0.61,,,,,
SarJ,Ribozyme,,,,,0.93;0.18;0.17,,,,,
pBetI,Promoter,,,,,0.33;0.33;0.64,,,,,
P2,RBS,,,,,0.98;0.64;0.15,,,,,
BM3R1,CDS,,,,,0.93;0.18;0.17,,,,,
ECK120033737,Terminator,,,,,0.98;0.64;0.15,,,,,
L3S3P11,Terminator,,,,,0.33;0.33;0.64,,,,,
pTet,Promoter,,,,,0.0;0.0;0.0,,,,,
BetI,CDS,,,,,0.33;0.33;0.64,,,,,
B2,RBS,,,,,0.93;0.18;0.17,,,,,
pPsrA,Promoter,,,,,0.76;0.29;0.61,,,,,
pPhlF,Promoter,,,,,0.98;0.64;0.15,,,,,
pTac,Promoter,,,,,0.0;0.0;0.0,,,,,
AmtR,CDS,,,,,0.23;0.66;0.88,,,,,
BydvJ,Ribozyme,,,,,0.23;0.66;0.88,,,,,
